"Plan","SliceIndex","ScanCount","FirstGlobalIndex","AreaY"
"new_full","0","15","0","-142480.498725266"
"new_full","1","15","15","-138837.050849289"
"new_full","2","35","30","-135193.602973312"
"new_full","3","35","65","-131550.155097336"
"new_full","4","35","100","-127906.714850754"
"new_full","5","45","135","-124263.274604172"
"new_full","6","45","180","-120619.826728195"
"new_full","7","45","225","-116976.386481613"
"new_full","8","55","270","-113332.946235031"
"new_full","9","55","325","-109689.498359055"
"new_full","10","55","380","-106046.058112473"
"new_full","11","55","435","-102402.610236496"
"new_full","12","55","490","-98759.1699899141"
"new_full","13","65","545","-95115.7221139375"
"new_full","14","65","610","-91472.2818673555"
"new_full","15","65","675","-87828.8339913789"
"new_full","16","65","740","-84185.3937447969"
"new_full","17","65","805","-80541.9458688203"
"new_full","18","75","870","-76898.5056222383"
"new_full","19","75","945","-73255.0577462617"
"new_full","20","75","1020","-69611.6174996797"
"new_full","21","75","1095","-65968.1696237031"
"new_full","22","75","1170","-62324.7255624238"
"new_full","23","75","1245","-58681.2853158418"
"new_full","24","75","1320","-55037.8412545625"
"new_full","25","75","1395","-51394.3971932832"
"new_full","26","75","1470","-47750.9531320039"
"new_full","27","75","1545","-44107.5090707246"
"new_full","28","75","1620","-40464.0650094453"
"new_full","29","80","1695","-36820.620948166"
"new_full","30","80","1775","-33177.1768868867"
"new_full","31","80","1855","-29533.7328256074"
"new_full","32","85","1935","-25890.2887643281"
"new_full","33","85","2020","-22246.8447030488"
"new_full","34","85","2105","-18603.4006417695"
"new_full","35","85","2190","-14959.9565804902"
"new_full","36","85","2275","-11316.5125192109"
"new_full","37","85","2360","-7673.06845793164"
"new_full","38","85","2445","-4029.62463507092"
"new_full","39","85","2530","-386.180573791626"
"new_full","40","85","2615","3257.26324906909"
"new_full","41","85","2700","6900.70683351123"
"new_full","42","85","2785","10544.1508947905"
"new_full","43","85","2870","14187.5959097441"
"new_full","44","85","2955","17831.0399710234"
"new_full","45","85","3040","21474.4821249541"
"new_full","46","80","3125","25117.9261862334"
